统帅部,绥靖区,"['同时', '，', '军队', '指挥', '系统', '叠床架屋', '，', '自', '统帅部', '至', '行营', '（', '或', '绥署', '、', '绥靖区', '）', '至', '军至师', '，', '至少', '有', '四五', '级', '之', '多', '，', '命令', '来回', '反复', '，', '大大', '削弱', '了', '部队', '战斗力', '。']","(15, 16)","(8, 9)",1945-1949：国共政争与中国命运.txt
广州博济医院,香港,"['二十', '岁', '那年', '，', '孙中山', '转', '而', '学', '医', '，', '先', '入', '广州', '博济', '医院', '，', '再', '入', '香港', '西医', '书院', '。']","(18, 19)","(12, 15)",《1911之革命尚未成功》作者：王树增.txt
兴中会,兴中,"['他', '曾', '陪', '孙中山', '由', '广州', '北上', '京', '津', '，', '后', '在', '香港', '加入', '兴中会', '，', '创建', '兴中', '会', '广州', '分会', '，', '组织', '暴动', '时', '“', '拟定', '青天白日', '”', '为', '旗帜', '。']","(17, 18)","(14, 15)",《1911之革命尚未成功》作者：王树增.txt
兴中会,广州,"['他', '曾', '陪', '孙中山', '由', '广州', '北上', '京', '津', '，', '后', '在', '香港', '加入', '兴中会', '，', '创建', '兴中', '会', '广州', '分会', '，', '组织', '暴动', '时', '“', '拟定', '青天白日', '”', '为', '旗帜', '。']","(19, 20)","(14, 15)",《1911之革命尚未成功》作者：王树增.txt
英国外交部,英国,"['康德黎', '立即', '奔走', '于', '英国', '外交部', '和', '英国', '警察局', '，', '要求', '他们', '出面', '制止', '大清帝', '国公', '使馆', '在', '英国', '国土', '上', '公然', '绑架', '的', '行为', '。']","(7, 8)","(4, 6)",《1911之革命尚未成功》作者：王树增.txt
大清帝国公使馆,英国,"['康德黎', '立即', '奔走', '于', '英国', '外交部', '和', '英国', '警察局', '，', '要求', '他们', '出面', '制止', '大清帝', '国公', '使馆', '在', '英国', '国土', '上', '公然', '绑架', '的', '行为', '。']","(18, 19)","(14, 17)",《1911之革命尚未成功》作者：王树增.txt
中国政府,伦敦,"['而', '《地球报》', '特地', '出版', '了', '刊', '有', '“', '中国', '政府', '驻', '伦敦', '公使馆', '绑架', '和', '监禁', '一', '位', '中国', '名人', '”', '的', '号外', '，', '指出', '被', '绑架', '和', '监禁者', '曾', '“', '密谋', '攻占', '广州', '总督府', '，', '其', '最终', '目的', '是', '推翻', '满族', '或', '鞑靼', '王朝', '”', '，', '因为', '“', '中国', '在', '它', '的', '统治', '下', '显然', '日益', '恶化', '，', '除非', '推翻', '这个', '王朝', '，', '否则', '不', '能', '指望', '国家', '事务', '得以', '改善', '”', '。']","(11, 12)","(8, 10)",《1911之革命尚未成功》作者：王树增.txt
英国政府,香港,"['十月', '二十三日', '下午', '，', '在', '英国', '外交部', '的', '强大', '压力', '下', '，', '公使馆', '终于', '承认', '关押', '着', '一个', '人', '，', '而且', '同意', '释放', '这个', '人', '，', '条件', '是', '英国', '政府', '确保', '这个', '人', '返回', '香港', '后', '，', '不再', '从事', '谋反', '朝廷', '的', '颠覆', '活动', '。']","(34, 35)","(28, 30)",《1911之革命尚未成功》作者：王树增.txt
英国外交部,英国,"['十四', '时', '半', '左右', '，', '在', '英国', '外交部', '官员', '、', '英国', '警方', '的', '一', '位', '探长', '和', '康德黎', '的', '陪同', '下', '，', '孙中山', '走', '出', '了', '大清帝国', '驻', '英国公', '使馆', '。']","(10, 11)","(6, 8)",《1911之革命尚未成功》作者：王树增.txt
英国政府,香港,"['此时', '，', '在', '距', '自己', '祖国', '最近', '的', '国家', '和', '地区', '中', '，', '除了', '日本', '他', '已', '没有', '别的', '地方', '可', '去', '，', '英国', '政府', '不', '允许', '他', '再', '涉足', '包括', '香港', '在内', '的', '南洋', '英', '属', '岛屿', '。']","(31, 32)","(23, 25)",《1911之革命尚未成功》作者：王树增.txt
