Ns,Ns,"(9, 10)","(13, 14)",上海,嘉兴,"['硖石', '，', '富家', '，', '稚童', '沪', '杭', '列车', '从', '上海', '出发', '，', '过', '嘉兴', '，', '再', '向东', '弯', '去', '，', '不久', '，', '即', '抵', '钱塘江', '北岸', '的', '浙江', '海宁县', '硖石', '镇', '（', '今', '海宁市', '）', '。']",《徐志摩传》.txt
Ns,Nh,"(9, 10)","(16, 17)",上海,向东,"['硖石', '，', '富家', '，', '稚童', '沪', '杭', '列车', '从', '上海', '出发', '，', '过', '嘉兴', '，', '再', '向东', '弯', '去', '，', '不久', '，', '即', '抵', '钱塘江', '北岸', '的', '浙江', '海宁县', '硖石', '镇', '（', '今', '海宁市', '）', '。']",《徐志摩传》.txt
Ns,Nh,"(13, 14)","(16, 17)",嘉兴,向东,"['硖石', '，', '富家', '，', '稚童', '沪', '杭', '列车', '从', '上海', '出发', '，', '过', '嘉兴', '，', '再', '向东', '弯', '去', '，', '不久', '，', '即', '抵', '钱塘江', '北岸', '的', '浙江', '海宁县', '硖石', '镇', '（', '今', '海宁市', '）', '。']",《徐志摩传》.txt
Ns,Ni,"(24, 25)","(27, 31)",钱塘江,浙江海宁县硖石镇,"['硖石', '，', '富家', '，', '稚童', '沪', '杭', '列车', '从', '上海', '出发', '，', '过', '嘉兴', '，', '再', '向东', '弯', '去', '，', '不久', '，', '即', '抵', '钱塘江', '北岸', '的', '浙江', '海宁县', '硖石', '镇', '（', '今', '海宁市', '）', '。']",《徐志摩传》.txt
Ni,Ns,"(27, 31)","(33, 34)",浙江海宁县硖石镇,海宁市,"['硖石', '，', '富家', '，', '稚童', '沪', '杭', '列车', '从', '上海', '出发', '，', '过', '嘉兴', '，', '再', '向东', '弯', '去', '，', '不久', '，', '即', '抵', '钱塘江', '北岸', '的', '浙江', '海宁县', '硖石', '镇', '（', '今', '海宁市', '）', '。']",《徐志摩传》.txt
Nh,Ns,"(4, 5)","(7, 9)",徐,河南开封,"['大院', '的', '主人', '姓', '徐', '，', '祖籍', '河南', '开封', '，', '世代', '经商', '。']",《徐志摩传》.txt
Nh,Nh,"(14, 15)","(20, 21)",申如,徐志摩,"['为此', '，', '在', '幼', '申于', ' ', '1918', ' ', '年', '赴美', '留学', '前夕', '，', '其父', '申如', '先生', '为', '其', '改名', '为', '徐志摩', '。']",《徐志摩传》.txt
Nh,Nh,"(2, 3)","(7, 8)",徐志摩,徐申,"['不管怎样', '，', '徐志摩', '的', '问世', '，', '意味着', '徐申', '如及', '徐申', '如', '的', '家业', '有', '了', '后', '继之', '人', '，', '中国', '现代', '文坛', '也', '因此', '有', '了', '诗', '月', '诗派', '，', '有', '了', '一位', '才华横溢', '的', '著名', '的', '大', '诗人', '。']",《徐志摩传》.txt
Nh,Nh,"(2, 3)","(9, 10)",徐志摩,徐申,"['不管怎样', '，', '徐志摩', '的', '问世', '，', '意味着', '徐申', '如及', '徐申', '如', '的', '家业', '有', '了', '后', '继之', '人', '，', '中国', '现代', '文坛', '也', '因此', '有', '了', '诗', '月', '诗派', '，', '有', '了', '一位', '才华横溢', '的', '著名', '的', '大', '诗人', '。']",《徐志摩传》.txt
Nh,Nh,"(7, 8)","(9, 10)",徐申,徐申,"['不管怎样', '，', '徐志摩', '的', '问世', '，', '意味着', '徐申', '如及', '徐申', '如', '的', '家业', '有', '了', '后', '继之', '人', '，', '中国', '现代', '文坛', '也', '因此', '有', '了', '诗', '月', '诗派', '，', '有', '了', '一位', '才华横溢', '的', '著名', '的', '大', '诗人', '。']",《徐志摩传》.txt
