Ns,Ns,"(31, 32)","(34, 35)",宣武门,太平湖,"['咸丰', '十年', '，', '十九岁', '的', '醇', '郡王', '奕', '囗', '奉旨', '与', '懿', '贵妃', '叶赫那拉', '氏', '的', '妹妹', '成婚', '，', '依例', '先行', '分府', '出宫', '，', '他', '受', '赐', '的', '府邸', '坐落', '在', '宣武门', '内', '的', '太平湖', '东岸', '，', '即', '现在', '中央音乐学院', '所在地', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(8, 9)","(10, 11)",贝勒,贝子,"['①', '宗室', '爵位', '分为', '亲王', '、', '郡王', '、', '贝勒', '、', '贝子', '、', '公', '、', '将军', '各', '等', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(3, 4)","(8, 9)",道光,乌雅氏,"['我', '祖父', '为', '道光', '皇帝', '的', '庄顺', '皇贵妃', '乌雅氏', '所', '出', '，', '生于', '道光', '二十二年', '，', '死', '于', '光绪', '十六年', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(8, 9)","(13, 14)",乌雅氏,道光,"['我', '祖父', '为', '道光', '皇帝', '的', '庄顺', '皇贵妃', '乌雅氏', '所', '出', '，', '生于', '道光', '二十二年', '，', '死', '于', '光绪', '十六年', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(8, 9)","(10, 11)",醇贤,奕,"['翻开', '皇室', '家谱', '“', '玉牒', '”', '来看', '，', '醇贤', '亲王', '奕', '囗', '在', '他', '哥哥', '咸丰帝', '在位', '的', '十一年', '间', '，', '除了', '他', '十岁时', '因', '咸丰', '登极', '而', '按例', '封为', '醇', '郡王', '之外', '，', '没有', '得到', '过', '什么', '“', '恩典', '”', '，', '可是', '在', '咸丰帝', '死后', '那', '半年', '间', '，', '也', '就是', '慈禧太后', '的', '尊号', '刚', '出现', '的', '那', '几个', '月间', '，', '他', '忽然', '接二连三', '地', '得到', '了', '一大堆', '头衔', '：', '正黄旗', '汉军', '都统', '、', '正黄旗', '领', '侍卫', '内', '大臣', '、', '御前', '大臣', '、', '后扈', '大臣', '、', '管理', '善扑营', '事务', '、', '署理', '奉宸苑', '事务', '、', '管理', '正黄旗', '新旧', '营房', '事务', '、', '管理', '火枪', '营', '事务', '、', '管理', '神机营', '事务', '…', '…']",《溥仪自传--我的前半生》.txt
Ns,Ns,"(71, 72)","(75, 76)",正黄旗,正黄旗,"['翻开', '皇室', '家谱', '“', '玉牒', '”', '来看', '，', '醇贤', '亲王', '奕', '囗', '在', '他', '哥哥', '咸丰帝', '在位', '的', '十一年', '间', '，', '除了', '他', '十岁时', '因', '咸丰', '登极', '而', '按例', '封为', '醇', '郡王', '之外', '，', '没有', '得到', '过', '什么', '“', '恩典', '”', '，', '可是', '在', '咸丰帝', '死后', '那', '半年', '间', '，', '也', '就是', '慈禧太后', '的', '尊号', '刚', '出现', '的', '那', '几个', '月间', '，', '他', '忽然', '接二连三', '地', '得到', '了', '一大堆', '头衔', '：', '正黄旗', '汉军', '都统', '、', '正黄旗', '领', '侍卫', '内', '大臣', '、', '御前', '大臣', '、', '后扈', '大臣', '、', '管理', '善扑营', '事务', '、', '署理', '奉宸苑', '事务', '、', '管理', '正黄旗', '新旧', '营房', '事务', '、', '管理', '火枪', '营', '事务', '、', '管理', '神机营', '事务', '…', '…']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(17, 18)","(20, 21)",六叔,陈士,"['有', '一天', '王府', '里', '演戏', '，', '演', '到', '“', '铡', '美案', '”', '最后', '一场', '，', '年幼', '的', '六叔', '载洵', '看见', '陈士', '美', '被', '包龙图', '铡', '得', '鲜血淋漓', '，', '吓', '得', '坐地', '大哭', '，', '我', '祖父', '立即', '声色俱厉', '地', '当众', '喝道', '：', '“', '太不像话', '！']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(17, 18)","(21, 22)",六叔,美,"['有', '一天', '王府', '里', '演戏', '，', '演', '到', '“', '铡', '美案', '”', '最后', '一场', '，', '年幼', '的', '六叔', '载洵', '看见', '陈士', '美', '被', '包龙图', '铡', '得', '鲜血淋漓', '，', '吓', '得', '坐地', '大哭', '，', '我', '祖父', '立即', '声色俱厉', '地', '当众', '喝道', '：', '“', '太不像话', '！']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(20, 21)","(21, 22)",陈士,美,"['有', '一天', '王府', '里', '演戏', '，', '演', '到', '“', '铡', '美案', '”', '最后', '一场', '，', '年幼', '的', '六叔', '载洵', '看见', '陈士', '美', '被', '包龙图', '铡', '得', '鲜血淋漓', '，', '吓', '得', '坐地', '大哭', '，', '我', '祖父', '立即', '声色俱厉', '地', '当众', '喝道', '：', '“', '太不像话', '！']",《溥仪自传--我的前半生》.txt
Ns,Ns,"(11, 12)","(15, 16)",热河,咸丰,"['第二次', '鸦片战争', '以', '屈辱', '的', '和议', '宣告', '结束', '，', '逃', '到', '热河', '卧病', '不起', '的', '咸丰', '皇帝', '，', '临终', '之前', '，', '召集', '了', '随', '他', '逃亡', '的', '三个', '御前', '大臣', '和', '五个', '军机大臣', '，', '立', '了', '六岁', '的', '儿子', '载淳', '为', '皇太子', '，', '并且', '任命', '这', '八位', '大臣', '为', '赞襄', '政务', '大臣', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(22, 23)","(24, 25)",穆荫,匡源,"['这', '八位', '顾命', '王', '大臣', '是', '恰', '亲王', '载垣', '、', '郑亲王', '端华', '、', '协办', '大学士', '户部', '尚书', '肃', '顺和', '军机大臣', '景寿', '、', '穆荫', '、', '匡源', '、', '杜翰', '、', '焦佑', '瀛', '，', '其中', '掌握', '实权', '的', '是', '两位', '亲王', '和', '一位', '协办', '大学士', '，', '而肃顺', '更是', '其中', '的', '主宰', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(22, 23)","(26, 27)",穆荫,杜翰,"['这', '八位', '顾命', '王', '大臣', '是', '恰', '亲王', '载垣', '、', '郑亲王', '端华', '、', '协办', '大学士', '户部', '尚书', '肃', '顺和', '军机大臣', '景寿', '、', '穆荫', '、', '匡源', '、', '杜翰', '、', '焦佑', '瀛', '，', '其中', '掌握', '实权', '的', '是', '两位', '亲王', '和', '一位', '协办', '大学士', '，', '而肃顺', '更是', '其中', '的', '主宰', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(22, 23)","(28, 29)",穆荫,焦佑,"['这', '八位', '顾命', '王', '大臣', '是', '恰', '亲王', '载垣', '、', '郑亲王', '端华', '、', '协办', '大学士', '户部', '尚书', '肃', '顺和', '军机大臣', '景寿', '、', '穆荫', '、', '匡源', '、', '杜翰', '、', '焦佑', '瀛', '，', '其中', '掌握', '实权', '的', '是', '两位', '亲王', '和', '一位', '协办', '大学士', '，', '而肃顺', '更是', '其中', '的', '主宰', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(24, 25)","(26, 27)",匡源,杜翰,"['这', '八位', '顾命', '王', '大臣', '是', '恰', '亲王', '载垣', '、', '郑亲王', '端华', '、', '协办', '大学士', '户部', '尚书', '肃', '顺和', '军机大臣', '景寿', '、', '穆荫', '、', '匡源', '、', '杜翰', '、', '焦佑', '瀛', '，', '其中', '掌握', '实权', '的', '是', '两位', '亲王', '和', '一位', '协办', '大学士', '，', '而肃顺', '更是', '其中', '的', '主宰', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(24, 25)","(28, 29)",匡源,焦佑,"['这', '八位', '顾命', '王', '大臣', '是', '恰', '亲王', '载垣', '、', '郑亲王', '端华', '、', '协办', '大学士', '户部', '尚书', '肃', '顺和', '军机大臣', '景寿', '、', '穆荫', '、', '匡源', '、', '杜翰', '、', '焦佑', '瀛', '，', '其中', '掌握', '实权', '的', '是', '两位', '亲王', '和', '一位', '协办', '大学士', '，', '而肃顺', '更是', '其中', '的', '主宰', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(26, 27)","(28, 29)",杜翰,焦佑,"['这', '八位', '顾命', '王', '大臣', '是', '恰', '亲王', '载垣', '、', '郑亲王', '端华', '、', '协办', '大学士', '户部', '尚书', '肃', '顺和', '军机大臣', '景寿', '、', '穆荫', '、', '匡源', '、', '杜翰', '、', '焦佑', '瀛', '，', '其中', '掌握', '实权', '的', '是', '两位', '亲王', '和', '一位', '协办', '大学士', '，', '而肃顺', '更是', '其中', '的', '主宰', '。']",《溥仪自传--我的前半生》.txt
Nh,Ni,"(0, 1)","(2, 4)",肃顺,咸丰朝,"['肃顺', '在', '咸丰', '朝', '很', '受', '器重', '，', '据说', '他', '善于', '擢用', '“', '人才', '”', '，', '后来', '替', '清廷', '出力', '镇压', '太平天国', '革命', '的', '汉族', '大', '地主', '曾国藩', '、', '左宗棠', '之流', '，', '就是', '由', '他', '推荐', '提拔', '的', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(27, 28)","(29, 30)",曾国藩,左宗棠,"['肃顺', '在', '咸丰', '朝', '很', '受', '器重', '，', '据说', '他', '善于', '擢用', '“', '人才', '”', '，', '后来', '替', '清廷', '出力', '镇压', '太平天国', '革命', '的', '汉族', '大', '地主', '曾国藩', '、', '左宗棠', '之流', '，', '就是', '由', '他', '推荐', '提拔', '的', '。']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(17, 18)","(20, 21)",镶红,蓝田,"['白', '、', '红', '、', '蓝四旗', '，', '万历', '四十四年', '（', '1615', '）', '增设', '镶', '黄', '、', '镶白', '、', '镶红', '、', '镶', '蓝田', '旗', '，', '共', '为', '八旗', '。']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(1, 2)","(6, 7)",奕,咸丰,"['恭亲王', '奕', '訢', '①', '，', '在', '咸丰', '朝', '本来', '不是', '个', '得意', '的', '人物', '。']",《溥仪自传--我的前半生》.txt
Ns,Ns,"(0, 1)","(6, 7)",咸丰,北京,"['咸丰', '把', '奕', '訢', '丢', '在', '北京', '去', '办', '议和', '，', '这件', '苦差事', '却', '给', '奕', '訢', '造成', '了', '机运', '，', '奕', '訢', '代表', '清廷', '和', '英法联军', '办', '了', '和议', '，', '接受', '了', '空前', '丧权辱国', '的', '北京', '条约', '，', '颇', '受到', '洋人', '的', '赏识', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(15, 16)","(21, 22)",奕,奕,"['咸丰', '把', '奕', '訢', '丢', '在', '北京', '去', '办', '议和', '，', '这件', '苦差事', '却', '给', '奕', '訢', '造成', '了', '机运', '，', '奕', '訢', '代表', '清廷', '和', '英法联军', '办', '了', '和议', '，', '接受', '了', '空前', '丧权辱国', '的', '北京', '条约', '，', '颇', '受到', '洋人', '的', '赏识', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(9, 10)","(14, 15)",道光,道光,"['①', '奕', '訢', '（', '1832', '—', '1898', '）', '是', '道光', '的', '第六', '子', '，', '道光', '三十年', '封', '为', '恭亲王', '。']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(14, 15)","(16, 17)",载淳,咸丰,"['西太后', '原', '是', '一个', '宫女', '，', '由于', '怀孕', '，', '升', '为', '贵妃', '，', '儿子', '载淳', '是', '咸丰', '的', '独子', '，', '后来', '当', '了', '皇帝', '，', '母以子贵', '，', '她', '立时', '成', '了', '太后', '。']",《溥仪自传--我的前半生》.txt
Ns,Nh,"(11, 12)","(18, 19)",北京,慈禧,"['有人', '说', '太后', '的', '懿旨', '是', '由', '一个', '厨役', '秘密', '带到', '北京', '的', '，', '又', '有人', '说', '是', '慈禧', '先', '把', '心腹', '太监', '安德海', '公开', '责打', '一顿', '，', '然后', '下令', '送', '他', '到', '北京', '内廷', '处理', '，', '懿旨', '就', '这样', '叫', '安德海', '带到', '了', '北京', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(18, 19)","(23, 24)",慈禧,安德海,"['有人', '说', '太后', '的', '懿旨', '是', '由', '一个', '厨役', '秘密', '带到', '北京', '的', '，', '又', '有人', '说', '是', '慈禧', '先', '把', '心腹', '太监', '安德海', '公开', '责打', '一顿', '，', '然后', '下令', '送', '他', '到', '北京', '内廷', '处理', '，', '懿旨', '就', '这样', '叫', '安德海', '带到', '了', '北京', '。']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(41, 42)","(44, 45)",安德海,北京,"['有人', '说', '太后', '的', '懿旨', '是', '由', '一个', '厨役', '秘密', '带到', '北京', '的', '，', '又', '有人', '说', '是', '慈禧', '先', '把', '心腹', '太监', '安德海', '公开', '责打', '一顿', '，', '然后', '下令', '送', '他', '到', '北京', '内廷', '处理', '，', '懿旨', '就', '这样', '叫', '安德海', '带到', '了', '北京', '。']",《溥仪自传--我的前半生》.txt
Ns,Nh,"(6, 7)","(12, 13)",咸丰,安德海,"['还有', '一个', '说法', '是', '恭亲王', '祭拜', '咸丰', '灵位', '时', '，', '慈禧太后', '让', '安德海', '送', '一碗', '面', '赏给', '恭亲王', '吃', '，', '碗', '底下', '藏', '着', '慈禧', '写给', '奕', '訢', '的', '懿旨', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(24, 25)","(26, 27)",慈禧,奕,"['还有', '一个', '说法', '是', '恭亲王', '祭拜', '咸丰', '灵位', '时', '，', '慈禧太后', '让', '安德海', '送', '一碗', '面', '赏给', '恭亲王', '吃', '，', '碗', '底下', '藏', '着', '慈禧', '写给', '奕', '訢', '的', '懿旨', '。']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(3, 4)","(9, 10)",萨满,乌答,"['男巫', '叫', '“', '萨满', '”', '，', '女巫', '叫', '“', '乌答', '有', '”', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(32, 33)","(36, 37)",李莲英,慈禧,"['清朝', '创建', '新式', '海军', '，', '奕', '囗', '接受', '了', '这个', '重任', '，', '海军', '初步', '建成', '之后', '，', '他须', '代表', '太后', '去', '检阅', '，', '偏要', '拉着', '一位', '太监', '同', '去', '，', '因为', '这位', '李莲英', '大', '总管', '是', '慈禧', '的', '心腹', '人', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(0, 1)","(6, 7)",慈禧,吴大澄,"['慈禧', '见', '疏大怒', '，', '吓', '得', '吴大澄', '忙', '借母', '丧为', '由', '，', '在', '家里', '呆', '了', '三年', '没敢', '出来', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(13, 14)","(15, 16)",孔子,鲁桓公,"['①', '欹', '器', '亦', '叫做', '敧', '器', '，', '苟子', '《宥生篇》', '云', '：', '“', '孔子', '观于', '鲁桓公', '之庙', '，', '有', '敧', '器', '焉', '，', '孔子', '问于', '守庙', '者', '曰', '：', '‘', '此', '为何', '器', '？']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(13, 14)","(16, 17)",孔子,之庙,"['①', '欹', '器', '亦', '叫做', '敧', '器', '，', '苟子', '《宥生篇》', '云', '：', '“', '孔子', '观于', '鲁桓公', '之庙', '，', '有', '敧', '器', '焉', '，', '孔子', '问于', '守庙', '者', '曰', '：', '‘', '此', '为何', '器', '？']",《溥仪自传--我的前半生》.txt
Nh,BOOK,"(13, 14)","(9, 10)",孔子,《宥生篇》,"['①', '欹', '器', '亦', '叫做', '敧', '器', '，', '苟子', '《宥生篇》', '云', '：', '“', '孔子', '观于', '鲁桓公', '之庙', '，', '有', '敧', '器', '焉', '，', '孔子', '问于', '守庙', '者', '曰', '：', '‘', '此', '为何', '器', '？']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(15, 16)","(16, 17)",鲁桓公,之庙,"['①', '欹', '器', '亦', '叫做', '敧', '器', '，', '苟子', '《宥生篇》', '云', '：', '“', '孔子', '观于', '鲁桓公', '之庙', '，', '有', '敧', '器', '焉', '，', '孔子', '问于', '守庙', '者', '曰', '：', '‘', '此', '为何', '器', '？']",《溥仪自传--我的前半生》.txt
Nh,BOOK,"(15, 16)","(9, 10)",鲁桓公,《宥生篇》,"['①', '欹', '器', '亦', '叫做', '敧', '器', '，', '苟子', '《宥生篇》', '云', '：', '“', '孔子', '观于', '鲁桓公', '之庙', '，', '有', '敧', '器', '焉', '，', '孔子', '问于', '守庙', '者', '曰', '：', '‘', '此', '为何', '器', '？']",《溥仪自传--我的前半生》.txt
Ns,Nh,"(16, 17)","(23, 24)",之庙,孔子,"['①', '欹', '器', '亦', '叫做', '敧', '器', '，', '苟子', '《宥生篇》', '云', '：', '“', '孔子', '观于', '鲁桓公', '之庙', '，', '有', '敧', '器', '焉', '，', '孔子', '问于', '守庙', '者', '曰', '：', '‘', '此', '为何', '器', '？']",《溥仪自传--我的前半生》.txt
Ns,BOOK,"(16, 17)","(9, 10)",之庙,《宥生篇》,"['①', '欹', '器', '亦', '叫做', '敧', '器', '，', '苟子', '《宥生篇》', '云', '：', '“', '孔子', '观于', '鲁桓公', '之庙', '，', '有', '敧', '器', '焉', '，', '孔子', '问于', '守庙', '者', '曰', '：', '‘', '此', '为何', '器', '？']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(10, 11)","(17, 18)",李莲英,慈禧,"['伺候', '过', '慈禧', '的', '太监', '都', '说', '过', '，', '除了', '李莲英', '之外', '，', '谁', '轮', '着', '在', '慈禧', '的', '跟前', '站班', '，', '谁', '就', '提心吊胆', '。']",《溥仪自传--我的前半生》.txt
Nh,Ns,"(0, 1)","(5, 6)",慈禧,慈安,"['慈禧', '从此', '下尽', '功夫', '向', '慈安', '讨好', '，', '慈安竟', '被', '她', '哄弄', '得', '终于', '当', '她', '的', '面前', '烧掉', '了', '咸丰', '的', '遗诏', '。']",《溥仪自传--我的前半生》.txt
Nh,Nh,"(17, 18)","(19, 20)",慈禧,慈安,"['有', '的', '说', '是', '吃', '了', '慈禧', '送', '去', '的', '点心', '，', '有', '的', '说', '喝', '了', '慈禧', '给', '慈安', '亲手做', '的', '什么', '汤', '。']",《溥仪自传--我的前半生》.txt
