Nh,BOOK,"(0, 1)","(1, 2)",﻿,《军阀治世》,"['\ufeff', '《军阀治世》']",军阀治世.txt
Nh,Nh,"(1, 2)","(6, 7)",赵岩,王八蛋,"['此刻', '赵岩', '很', '生气', '，', '哪个', '王八蛋', '把', '他', '弄', '到', '这个', '鬼', '地方', '？']",军阀治世.txt
Ns,Ns,"(3, 4)","(10, 11)",济南,黄县,"['“', '我们', '从', '济南', '行', '了', '五六日', '，', '已经', '快到', '黄县', '了', '。', '”']",军阀治世.txt
Ni,Nh,"(1, 3)","(6, 7)",山东三矿徒,毛文龙,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Ni,Nh,"(1, 3)","(8, 9)",山东三矿徒,孔有德,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Nh,Nh,"(6, 7)","(8, 9)",毛文龙,孔有德,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Nh,Nh,"(6, 7)","(10, 11)",毛文龙,尚可喜,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Nh,Nh,"(6, 7)","(12, 13)",毛文龙,毛文龙,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Nh,Nh,"(8, 9)","(10, 11)",孔有德,尚可喜,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Nh,Nh,"(8, 9)","(12, 13)",孔有德,毛文龙,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
Nh,Nh,"(10, 11)","(12, 13)",尚可喜,毛文龙,"['“', '山东', '三矿徒', '，', '就是', '那', '毛文龙', '、', '孔有德', '、', '尚可喜', '，', '毛文龙', '为', '三', '矿徒', '之首', '，', '先前', '便', '曾', '劫掠', '登莱', '，', '后', '被', '袁崇焕', '斩杀', '，', '此次', '在', '山东', '作乱', '的', '便是', '孔有德', '。', '”']",军阀治世.txt
