Ns,Ns,"(8, 9)","(13, 14)",山东,江南,"['半个世纪', '后', '，', '我们', '这', '一代', '却', '绕', '山东', '南下', '，', '出发', '到', '江南', '。']",大师系列传记_李敖这个人.txt
Nh,Ns,"(11, 12)","(13, 14)",李敖出,中国,"['１', '９', '３', '５', '年', '４', '月', '２', '５', '日', '，', '李敖出', '生于', '中国', '东北', '的', '哈尔滨', '。']",大师系列传记_李敖这个人.txt
Nh,Ns,"(11, 12)","(16, 17)",李敖出,哈尔滨,"['１', '９', '３', '５', '年', '４', '月', '２', '５', '日', '，', '李敖出', '生于', '中国', '东北', '的', '哈尔滨', '。']",大师系列传记_李敖这个人.txt
Ns,Ns,"(13, 14)","(16, 17)",中国,哈尔滨,"['１', '９', '３', '５', '年', '４', '月', '２', '５', '日', '，', '李敖出', '生于', '中国', '东北', '的', '哈尔滨', '。']",大师系列传记_李敖这个人.txt
Nh,Ns,"(0, 1)","(6, 7)",李敖,中国,"['李敖', '出生', '的', '年', '月', '，', '中国', '这个', '古老', '的', '国家', '正在', '走向', '衰落', '。']",大师系列传记_李敖这个人.txt
Ns,Ns,"(2, 3)","(9, 10)",日本,中国,"['此时此刻', '，', '日本', '不仅', '把', '侵略', '的', '魔爪', '伸向', '中国', '的', '东北三省', '，', '而且', '又', '将', '贪婪', '的', '目光', '瞄准', '关外', '，', '把', '这块', '正在', '呻吟', '中', '的', '国土', '作为', '其大', '东亚', '“', '共荣圈', '”', '的', '重要', '目标', '。']",大师系列传记_李敖这个人.txt
Ns,Ns,"(9, 10)","(11, 12)",中国,东北三省,"['此时此刻', '，', '日本', '不仅', '把', '侵略', '的', '魔爪', '伸向', '中国', '的', '东北三省', '，', '而且', '又', '将', '贪婪', '的', '目光', '瞄准', '关外', '，', '把', '这块', '正在', '呻吟', '中', '的', '国土', '作为', '其大', '东亚', '“', '共荣圈', '”', '的', '重要', '目标', '。']",大师系列传记_李敖这个人.txt
Ni,Ns,"(10, 14)","(18, 19)",日本天津驻屯军参谋长,天津,"['为了', '加紧', '发展', '在', '华势力', '，', '实行', '蚕食', '政策', '，', '日本', '天津', '驻屯军', '参谋长', '酒井', '寻找', '借口', '从', '天津', '入关', '，', '进行', '武力威胁', '。']",大师系列传记_李敖这个人.txt
Ns,Nh,"(1, 2)","(4, 5)",华北,梅津美,"['日方', '华北', '驻屯军', '司令官', '梅津美', '治郎', '向', '中方', '提出', '种种', '无理要求', '，', '并', '扬言', '如', '不', '接受', '日方', '的', '要求', '，', '就要', '采取', '“', '自由行动', '”', '！']",大师系列传记_李敖这个人.txt
Ns,Nh,"(1, 2)","(5, 6)",华北,蒋介石,"['面对', '华北', '危机', '，', '国民党', '蒋介石', '一方面', '对外', '采取', '“', '不', '抵抗', '”', '政策', '，', '电令', '国民党', '政府', '北平', '军', '分会', '代理', '委员长', '何应钦', '答应', '日方', '提出', '的', '五项', '侵略', '要求', '，', '签定', '了', '激起', '全国', '民愤', '的', '“', '何梅', '协定', '”', '，', '大片', '国土', '陷入', '敌手', '；']",大师系列传记_李敖这个人.txt
Ns,Nh,"(18, 19)","(23, 24)",北平,何应钦,"['面对', '华北', '危机', '，', '国民党', '蒋介石', '一方面', '对外', '采取', '“', '不', '抵抗', '”', '政策', '，', '电令', '国民党', '政府', '北平', '军', '分会', '代理', '委员长', '何应钦', '答应', '日方', '提出', '的', '五项', '侵略', '要求', '，', '签定', '了', '激起', '全国', '民愤', '的', '“', '何梅', '协定', '”', '，', '大片', '国土', '陷入', '敌手', '；']",大师系列传记_李敖这个人.txt
Ns,Nh,"(30, 31)","(34, 35)",黄龙旗,王,"['此时', '，', '被', '辛亥革命', '赶', '出', '宫庭', '的', '溥仪', '在', '一群', '日本', '人', '和', '汉奸', '的', '簇拥', '下', '早已', '到', '了', '长春', '，', '建立', '起伪', '“', '满洲国', '”', '，', '挑着', '黄龙旗', '，', '做起', '傀儡', '王', '。']",大师系列传记_李敖这个人.txt
Nh,Nh,"(2, 3)","(7, 8)",李氏,李家,"['据', '“', '李氏', '宗谱', '”', '记载', '，', '李家', '的', '远籍', '在', '云南', '乌撒', '（', '即', '现今', '的', '威宁县', '）', '，', '是', '创造', '了', '竹楼', '笙歌', '的', '苗族', '。']",大师系列传记_李敖这个人.txt
Nh,Ns,"(7, 8)","(11, 13)",李家,云南乌撒,"['据', '“', '李氏', '宗谱', '”', '记载', '，', '李家', '的', '远籍', '在', '云南', '乌撒', '（', '即', '现今', '的', '威宁县', '）', '，', '是', '创造', '了', '竹楼', '笙歌', '的', '苗族', '。']",大师系列传记_李敖这个人.txt
Ns,Ns,"(11, 13)","(17, 18)",云南乌撒,威宁县,"['据', '“', '李氏', '宗谱', '”', '记载', '，', '李家', '的', '远籍', '在', '云南', '乌撒', '（', '即', '现今', '的', '威宁县', '）', '，', '是', '创造', '了', '竹楼', '笙歌', '的', '苗族', '。']",大师系列传记_李敖这个人.txt
Nh,Nh,"(1, 2)","(5, 6)",洪武,傅友德,"['明太祖', '洪武', '年间', '，', '大将', '傅友德', '征伐', '云南', '，', '战乱', '频仍', '，', '百姓', '纷纷', '北移', '，', '李氏', '先祖', '亦', '随波逐流', '，', '外出', '避难', '，', '自乌撒', '长途跋涉', '迁至', '山东', '潍县', '。']",大师系列传记_李敖这个人.txt
