Nh,Ns,"(0, 1)","(3, 4)",孙中山,中国,"['孙中山', '先生', '是', '中国', '民主革命', '的', '先行者', '，', '是', '伟大', '的', '民主主义', '革命家', '。']",孙中山.txt
Ns,Ns,"(8, 9)","(15, 16)",中国,中国,"['孙中山', '先生', '漫长', '的', '革俞', '生涯', '，', '与', '中国', '近现代', '社会', '发展', '的', '脉搏', '以及', '中国', '人', ' ', '民', '革命斗争', '的', '历程', '紧紧', '相连', '，', '他', '始终不渝', '地以', '振兴中华', '为', '己任', '，', '坚定不移', '地站', '在', '时代', '潮流', '的', '最', '前列', '，', '百折不挠', '地', '奋斗', '到', '生命', '的', '最后', '一', '息', '。']",孙中山.txt
Ns,Ns,"(20, 21)","(23, 24)",中国,中国,"['他', '一生', '的', '光辉', ' ', '经历', '折射出', '当时', '中国', '社会', '波澜壮阔', '的', '历史', '现实', '，', '因此', '，', '要', '了解', '近代', '中国', '和', '现代', '中国', '的', '社会', '发展', '，', '就', '必须', '了解', '孙中山', '曲折', '奋斗', '和', '辉煌', '壮丽', '的', '—', '生', '。']",孙中山.txt
Ns,Ns,"(9, 10)","(12, 13)",法国,里昂,"['1831', ' ', '年', '至', ' ', '1834', ' ', '年', '，', '法国', '发生', '了', '里昂', '工人', '起义', '；']",孙中山.txt
Ns,Ns,"(8, 9)","(11, 12)",英国,南京,"['1842', ' ', '年', ' ', '8', ' ', '月', '，', '英国', '军舰', '驶入', '南京', ' ', '江面', '，', '惊', '“', '惶', '失措', '的', '清王朝', '立即', '屈膝投降', '，', '签订', '了', '中国', '近代史', '上', '第一个', '包括', '割地', '、', '赔款', '在内', '的', '不', '平等', '条约', '—', '—', '《南京条约》', '。']",孙中山.txt
Ns,Ns,"(2, 3)","(6, 7)",英国,法,"['紧步', '着', '英国', '的', '后尘', '，', '法', '、', '美', '、', '俄', '等', '侵略者', '相继', '进入', '中国', '境内', '。']",孙中山.txt
Ns,Ns,"(2, 3)","(8, 9)",英国,美,"['紧步', '着', '英国', '的', '后尘', '，', '法', '、', '美', '、', '俄', '等', '侵略者', '相继', '进入', '中国', '境内', '。']",孙中山.txt
Ns,Ns,"(6, 7)","(8, 9)",法,美,"['紧步', '着', '英国', '的', '后尘', '，', '法', '、', '美', '、', '俄', '等', '侵略者', '相继', '进入', '中国', '境内', '。']",孙中山.txt
Ns,Ns,"(6, 7)","(10, 11)",法,俄,"['紧步', '着', '英国', '的', '后尘', '，', '法', '、', '美', '、', '俄', '等', '侵略者', '相继', '进入', '中国', '境内', '。']",孙中山.txt
Ns,Ns,"(8, 9)","(10, 11)",美,俄,"['紧步', '着', '英国', '的', '后尘', '，', '法', '、', '美', '、', '俄', '等', '侵略者', '相继', '进入', '中国', '境内', '。']",孙中山.txt
Ns,Ns,"(8, 9)","(15, 16)",美,中国,"['紧步', '着', '英国', '的', '后尘', '，', '法', '、', '美', '、', '俄', '等', '侵略者', '相继', '进入', '中国', '境内', '。']",孙中山.txt
Ns,Ns,"(10, 11)","(15, 16)",俄,中国,"['紧步', '着', '英国', '的', '后尘', '，', '法', '、', '美', '、', '俄', '等', '侵略者', '相继', '进入', '中国', '境内', '。']",孙中山.txt
Ns,Ns,"(4, 5)","(5, 6)",美,俄,"['1856', ' ', '年', '在', '美', '俄', '的', '支持', '下', '，', '又', '发动', '了', '一场', '新', '的', '战争', '，', '在历史上', '被', '称为', '“', '第二次', ' ', '鸦片战争', '”', '。']",孙中山.txt
Nh,Ns,"(4, 5)","(6, 9)",洪秀全,广西省桂平县金田村,"['1851', ' ', '年', '，', '洪秀全', '在', '广西省', '桂平县', '金田村', '发动', '起义', '，', '建号', '太平天国', '，', '起义', ' ', '部队', '称为', '太平军', '。']",孙中山.txt
Ns,Ns,"(2, 3)","(5, 6)",广西,湖南,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(2, 3)","(7, 8)",广西,湖北,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(2, 3)","(9, 10)",广西,江西,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(5, 6)","(7, 8)",湖南,湖北,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(5, 6)","(9, 10)",湖南,江西,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(5, 6)","(11, 12)",湖南,安徽,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(7, 8)","(9, 10)",湖北,江西,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(7, 8)","(11, 12)",湖北,安徽,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
Ns,Ns,"(9, 10)","(11, 12)",江西,安徽,"['旋即', '打出', '广西', '，', '经', '湖南', '、', '湖北', '、', '江西', '、', '安徽', '等', '省', '，', '一举', '打', '到', '江苏省', '会', '南京', '，', '遂', '改', '南京', '为', '天京', '，', '定为', '都城', '。']",孙中山.txt
