Nh,Ni,"(2, 3)","(5, 10)",唐德刚,台湾）远流出版公司,"['晚清', '七十年', '唐德刚', '著', '（', '台湾', '）', '远流', '出版', '公司', '自序', '：', '告别', '帝制', '五千年', '这部', '拙作', '是', '作者', '在', '退休', '以后', '才', '执笔', '编写', '的', '。']",晚清70年 (唐德刚).txt
Ns,Ni,"(11, 12)","(13, 15)",美国纽约,两所大学,"['在', '此', '将近', '半个世纪', '的', '教学', '生涯', '中', '，', '什九是', '在', '美国纽约', '的', '两所', '大学', '里', '度过', '去', '了', '。']",晚清70年 (唐德刚).txt
Nh,BOOK,"(22, 24)","(26, 27)",刘绍唐,《传记文学》,"['因', '每于', '霜晨', '月夕', '，', '于', '数十', '箱旧', '稿', '中', '，', '略', '检其', '尚可', '用', '者', '，', '编缀', '成篇', '，', '多半', '寄至', '刘绍', '唐', '先生', '于', '《传记文学》', '中', '酌量', '选用', '。']",晚清70年 (唐德刚).txt
Ns,Nh,"(8, 9)","(10, 11)",美国,麦克,"['笔者', '于', '六', '〇', '年代', '之初', '尝', '与', '美国', '出版商', '麦克', '米', '蓝', '公司', '订约', '撰写', '，', '总揽', '二十世纪', '中国', '之', '《民国全史》', '英文稿', '成', '千余', '页', '（', '部分', '章节', '曾', '由', '李又宁', '教授', '主编', '之', 'ChineseStudiesinHistory', '季刊', '披露', '之', '，', '见', '一九八八年', '诸期', '）', '。']",晚清70年 (唐德刚).txt
Ns,BOOK,"(19, 20)","(21, 22)",中国,《民国全史》,"['笔者', '于', '六', '〇', '年代', '之初', '尝', '与', '美国', '出版商', '麦克', '米', '蓝', '公司', '订约', '撰写', '，', '总揽', '二十世纪', '中国', '之', '《民国全史》', '英文稿', '成', '千余', '页', '（', '部分', '章节', '曾', '由', '李又宁', '教授', '主编', '之', 'ChineseStudiesinHistory', '季刊', '披露', '之', '，', '见', '一九八八年', '诸期', '）', '。']",晚清70年 (唐德刚).txt
Nh,Ni,"(0, 1)","(2, 5)",嗣,美国社会科学研究会,"['嗣', '复承', '美国', '社会科学', '研究会', '（', 'SocialScienceResearchCouncil', '）', '慷慨', '资助', '担纲', '主编', 'AnnotatedBibliographyofRepublicanChina', '（', '《详注民国史资料汇编》', '）', '，', '积稿', '亦', '数十', '箱', '，', '虽', '明知', '经费有限', '，', '非一人', '之力', '可竟', '全功', '，', '然', '愚公移山', '，', '古有明', '训', '，', '知其不可', '而', '为', '之', '，', '未尝', '气馁', '也', '。']",晚清70年 (唐德刚).txt
Nh,BOOK,"(20, 22)","(25, 26)",刘绍唐,《传记文学》,"['电脑', '时代', '新', '史学', '的', '试探', '在', '本篇', '中', '，', '笔者', '必须', '向', '贤明', '读者', '特别', '交待', '的', '是', '，', '刘绍', '唐', '先生', '所编', '的', '《传记文学》', '，', '并', '不是', '「', '学报', '」', '型', '的', '杂志', '。']",晚清70年 (唐德刚).txt
Nh,Nh,"(0, 1)","(2, 3)",巴氏,任哥,"['巴氏', '曾', '任哥', '大', '教务长', '及', '文学', '院长', '多年', '，', '后以', '校聘', '讲座', '教授', '（', 'UniversityProfessor', '）', '退休', '。']",晚清70年 (唐德刚).txt
Nh,Ns,"(4, 6)","(10, 11)",谭崇仁,美国,"['近', '月', '由', '华裔', '谭', '崇仁', '博士', '等', '专家', '为', '美国', 'IBM', '所', '设计', '之', '「', '深蓝', '」', '电脑', '与', '世界', '棋王', '科', '斯巴鲁', '夫', '对弈', '，', '科氏', '败下阵来', '，', '曾', '引起', '世界', '震惊', '。']",晚清70年 (唐德刚).txt
Nh,BOOK,"(4, 5)","(11, 12)",胡适之,《水经注》,"['笔者', '昔年', '每', '劝', '胡适之', '先生', '不应', '再', '搞', '他', '的', '《水经注》', '。']",晚清70年 (唐德刚).txt
