Nh,Ns,"(11, 12)","(13, 14)",国藩,中国,"['\ufeff', '[', '曾', '国藩', '全集', '/', '曾', '国藩', '著', ']', '曾', '国藩', '是', '中国', '近代史', '上', '最', '显赫', '和', '最', '有', '争议', '的', '人物', '，', '其', '生前', '毁誉参半', '，', '既', '有', '“', '中兴', '第一', '名臣', '”', '的', '美称', '，', '又', '有', '“', '卖国贼', '”', '的', '恶名', '。']",曾国藩传.txt
Ns,Ns,"(5, 6)","(12, 13)",中国,安庆,"['又', '于', '1861年', '创办', '了', '中国', '最', '早', '的', '洋务', '军工', '企业', '安庆', '内', '军械所', '，', '成为', '洋务派', '的', '重要', '代表', '人物', '。']",曾国藩传.txt
Nh,Nh,"(2, 3)","(4, 5)",章太炎,曾国藩,"['著名', '革命家', '章太炎', '对', '曾国藩', '的', '评价', '最为', '客观', '，', '称', '曾', '国藩', '“', '誉', '之', '则', '为', '圣相', '，', '谳', '之', '则', '为', '元凶', '。', '”']",曾国藩传.txt
Nh,Nh,"(0, 1)","(5, 6)",蒋介石,国藩,"['蒋介石', '更', '是', '把', '曾', '国藩', '奉', '为', '终生', '学习', '的', '楷模', '，', '并', '亲自', '从', '《曾国藩家书》', '中', '摘录', '出', '许多', '语录', '，', '然诵', '参悟', '。']",曾国藩传.txt
Nh,Nh,"(140, 141)","(142, 143)",石祥祯,韦俊,"['-', '-', '-', '-', '-', '-', '章节', '内容', '开始', '-', '-', '-', '-', '-', '-', '-', '第一', '部', '血祭', '第八', '章田镇', '大捷', '闪爵', '读书', 'www.shanjue.com', ':', '2008-10-12', '23', ':', '43', ':', '42', '本', '章', '字数', ':', '42855', '一', '周', '国虞', '横架', '六', '根', '铁锁', '，', '将', '田家镇', '江面', '牢牢', '锁', '住', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '当', '武昌城', '被', '湘军', '攻破', '时', '，', '太平天国', '国宗', '石祥祯', '、', '韦俊', '和', '春官', '又', '副', '丞相', '林绍璋', '、', '殿', '左', '一', '指挥', '罗大纲', '、', '殿左七', '指挥', '周国虞', '等', '率领', '所', '部', '连夜', '向', '长江', '下游', '方向', '奔', '去', '。']",曾国藩传.txt
Nh,Nh,"(142, 143)","(148, 149)",韦俊,林绍璋,"['-', '-', '-', '-', '-', '-', '章节', '内容', '开始', '-', '-', '-', '-', '-', '-', '-', '第一', '部', '血祭', '第八', '章田镇', '大捷', '闪爵', '读书', 'www.shanjue.com', ':', '2008-10-12', '23', ':', '43', ':', '42', '本', '章', '字数', ':', '42855', '一', '周', '国虞', '横架', '六', '根', '铁锁', '，', '将', '田家镇', '江面', '牢牢', '锁', '住', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '当', '武昌城', '被', '湘军', '攻破', '时', '，', '太平天国', '国宗', '石祥祯', '、', '韦俊', '和', '春官', '又', '副', '丞相', '林绍璋', '、', '殿', '左', '一', '指挥', '罗大纲', '、', '殿左七', '指挥', '周国虞', '等', '率领', '所', '部', '连夜', '向', '长江', '下游', '方向', '奔', '去', '。']",曾国藩传.txt
Nh,Ns,"(158, 159)","(165, 166)",周国虞,长江,"['-', '-', '-', '-', '-', '-', '章节', '内容', '开始', '-', '-', '-', '-', '-', '-', '-', '第一', '部', '血祭', '第八', '章田镇', '大捷', '闪爵', '读书', 'www.shanjue.com', ':', '2008-10-12', '23', ':', '43', ':', '42', '本', '章', '字数', ':', '42855', '一', '周', '国虞', '横架', '六', '根', '铁锁', '，', '将', '田家镇', '江面', '牢牢', '锁', '住', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '当', '武昌城', '被', '湘军', '攻破', '时', '，', '太平天国', '国宗', '石祥祯', '、', '韦俊', '和', '春官', '又', '副', '丞相', '林绍璋', '、', '殿', '左', '一', '指挥', '罗大纲', '、', '殿左七', '指挥', '周国虞', '等', '率领', '所', '部', '连夜', '向', '长江', '下游', '方向', '奔', '去', '。']",曾国藩传.txt
Ns,Nh,"(5, 6)","(9, 10)",樊口,陈玉成,"['第二', '天', '下午', '，', '在', '樊口', '一带', '遇到', '检点', '陈玉成', '率领', '的', '救援', '先头', '部队', '。']",曾国藩传.txt
Nh,Nh,"(0, 1)","(2, 3)",陈玉成,石祥祯,"['陈玉成', '告诉', '石祥祯', '等', '人', '，', '翼王', '在', '九江', '，', '燕王', '秦日纲', '率领', '援军', '目前', '正在', '蕲州', '。']",曾国藩传.txt
Nh,Ns,"(2, 3)","(8, 9)",石祥祯,九江,"['陈玉成', '告诉', '石祥祯', '等', '人', '，', '翼王', '在', '九江', '，', '燕王', '秦日纲', '率领', '援军', '目前', '正在', '蕲州', '。']",曾国藩传.txt
Ns,Nh,"(8, 9)","(11, 12)",九江,秦日纲,"['陈玉成', '告诉', '石祥祯', '等', '人', '，', '翼王', '在', '九江', '，', '燕王', '秦日纲', '率领', '援军', '目前', '正在', '蕲州', '。']",曾国藩传.txt
Nh,Ns,"(11, 12)","(16, 17)",秦日纲,蕲州,"['陈玉成', '告诉', '石祥祯', '等', '人', '，', '翼王', '在', '九江', '，', '燕王', '秦日纲', '率领', '援军', '目前', '正在', '蕲州', '。']",曾国藩传.txt
Ns,Ns,"(10, 11)","(16, 17)",武昌,蕲州,"['大家', '商议', '了', '一下', '，', '都', '认为', '此时', '不宜', '反攻', '武昌', '，', '不如', '全部', '撤退', '到', '蕲州', '和', '援军', '会合', '，', '再', '定', '对策', '。']",曾国藩传.txt
Nh,Nh,"(1, 2)","(3, 4)",韦俊,林绍璋,"['接着', '韦俊', '、', '林绍璋', '、', '罗大纲', '等', '人', '都', '对', '武昌', '失守', '，', '各自', '承担', '了', '责任', '。']",曾国藩传.txt
Nh,Nh,"(1, 2)","(5, 6)",韦俊,罗大纲,"['接着', '韦俊', '、', '林绍璋', '、', '罗大纲', '等', '人', '都', '对', '武昌', '失守', '，', '各自', '承担', '了', '责任', '。']",曾国藩传.txt
Nh,Nh,"(3, 4)","(5, 6)",林绍璋,罗大纲,"['接着', '韦俊', '、', '林绍璋', '、', '罗大纲', '等', '人', '都', '对', '武昌', '失守', '，', '各自', '承担', '了', '责任', '。']",曾国藩传.txt
Nh,Ns,"(3, 4)","(10, 11)",林绍璋,武昌,"['接着', '韦俊', '、', '林绍璋', '、', '罗大纲', '等', '人', '都', '对', '武昌', '失守', '，', '各自', '承担', '了', '责任', '。']",曾国藩传.txt
Nh,Ns,"(5, 6)","(10, 11)",罗大纲,武昌,"['接着', '韦俊', '、', '林绍璋', '、', '罗大纲', '等', '人', '都', '对', '武昌', '失守', '，', '各自', '承担', '了', '责任', '。']",曾国藩传.txt
Nh,Nh,"(0, 1)","(3, 4)",周国虞,陈玉成,"['周国虞', '很', '赞同', '陈玉成', '的', '意见', '，', '说', '：', '“', '陈', '将军', '分析', '得', '对', '。']",曾国藩传.txt
Nh,Nh,"(3, 4)","(10, 11)",陈玉成,陈,"['周国虞', '很', '赞同', '陈玉成', '的', '意见', '，', '说', '：', '“', '陈', '将军', '分析', '得', '对', '。']",曾国藩传.txt
Ns,Ns,"(1, 2)","(3, 4)",蕲州,武穴,"['从', '蕲州', '到', '武穴', '一带', '，', '关隘', '颇', '多', '，', '此', '乃', '天助', '我军', '以', '地利', '，', '我军', '应', '充分', '利用', '。', '”']",曾国藩传.txt
Ns,Nh,"(1, 2)","(6, 7)",蕲州,关隘,"['从', '蕲州', '到', '武穴', '一带', '，', '关隘', '颇', '多', '，', '此', '乃', '天助', '我军', '以', '地利', '，', '我军', '应', '充分', '利用', '。', '”']",曾国藩传.txt
Ns,Nh,"(3, 4)","(6, 7)",武穴,关隘,"['从', '蕲州', '到', '武穴', '一带', '，', '关隘', '颇', '多', '，', '此', '乃', '天助', '我军', '以', '地利', '，', '我军', '应', '充分', '利用', '。', '”']",曾国藩传.txt
Ns,Ns,"(5, 6)","(7, 8)",湖北,江西,"['此地', '向', '来', '扼控', '由', '湖北', '到', '江西', '、', '安徽', '的', '水陆', '两', '路', '，', '江流', '湍急', '，', '地势', '险', '要', '，', '只要', '在', '此地', '驻扎', '一', '支', '人马', '，', '曾', '妖头', '就', '是', '飞', '也', '飞', '不', '过去', '。', '”']",曾国藩传.txt
Ns,Ns,"(5, 6)","(9, 10)",湖北,安徽,"['此地', '向', '来', '扼控', '由', '湖北', '到', '江西', '、', '安徽', '的', '水陆', '两', '路', '，', '江流', '湍急', '，', '地势', '险', '要', '，', '只要', '在', '此地', '驻扎', '一', '支', '人马', '，', '曾', '妖头', '就', '是', '飞', '也', '飞', '不', '过去', '。', '”']",曾国藩传.txt
Ns,Ns,"(7, 8)","(9, 10)",江西,安徽,"['此地', '向', '来', '扼控', '由', '湖北', '到', '江西', '、', '安徽', '的', '水陆', '两', '路', '，', '江流', '湍急', '，', '地势', '险', '要', '，', '只要', '在', '此地', '驻扎', '一', '支', '人马', '，', '曾', '妖头', '就', '是', '飞', '也', '飞', '不', '过去', '。', '”']",曾国藩传.txt
Nh,Nh,"(0, 1)","(4, 5)",罗大纲,周,"['罗大纲', '说', '：', '“', '周', '将军', '所', '说', '极', '是', '，', '去年', '清妖悍', '将', '江忠源', '便', '在', '此地', '被', '我军', '击败', '，', '这', '田家镇', '最', '是', '个', '险要', '之', '地', '。', '”']",曾国藩传.txt
Ns,Nh,"(7, 8)","(12, 13)",田家镇,国藩,"['大家', '都', '认为', '将', '大军', '驻扎', '在', '田家镇', '两岸', '，', '阻止', '曾', '国藩', '东', '下', '是', '最', '好', '之', '策', '。']",曾国藩传.txt
Ns,Nh,"(2, 3)","(6, 7)",秦日纲,陈玉成,"['最后', '，', '秦日纲', '决定', '，', '由', '陈玉成', '统领', '一万人马', '驻扎', '蕲州', '，', '作为', '第一', '道', '防线', '，', '其余', '四万', '人', '全部', '进驻', '田家镇', '，', '在', '那里', '将', '湘勇', '一鼓', '聚歼', '。']",曾国藩传.txt
