Nh,Nh,"(3, 4)","(8, 9)",林语堂,朱,"['幽默', '大师', '：', '林语堂', ' ', ' ', '作者', '：', '朱', '艳丽']",林语堂传1.txt
Nh,BOOK,"(5, 6)","(2, 3)",阿葛萨,《三弥克里的故事》,"['不要', '一位', '《三弥克里的故事》', '书中', '的', '阿葛萨', '拿', '她', '的', '抹布', '到处', '乱', '抹', '乱', '擦', '。']",林语堂传1.txt
Nh,Ns,"(11, 12)","(18, 19)",乔木,应市,"['这里', '是', '青山', '环绕', '的', '肥沃', '盆地', '，', '自然环境', '得天独厚', '，', '乔木', '四季', '常绿', '，', '花果', '月', '月', '应市', '，', '自古以来', '就', '有', '“', '宝鼎', '境地', '”', '的', '美称', '。']",林语堂传1.txt
Ns,Ns,"(4, 5)","(8, 9)",云山,尖山,"['坂仔', '的', '南面', '就是', '云山', '千叠', '的', '十', '尖山', '。']",林语堂传1.txt
Ns,Ns,"(2, 3)","(8, 9)",纽约,巴黎,"['他', '在', '纽约', '的', '街头', '闲庭信步', '，', '在', '巴黎', '的', '咖啡馆', '侃侃而谈', '，', '他', '深邃', '的', '目光', '透过', '那些', '摩天大厦', '、', '拥挤', '人群', '，', '总', '还是', '飞', '回到', '了', '生', '他', '养', '他', '的', '坂仔', '，', '回到', '了', '给予', '他', '无穷的', '动力', '和', '艺术', '源泉', '的', '大山', '。']",林语堂传1.txt
Ns,Ns,"(1, 3)","(9, 11)",乐要从坂仔,厦门鼓浪屿,"['和', '乐要', '从坂仔', '的', '铭', '新', '小学', '转学', '到', '厦门', '鼓浪屿', '的', '教会学校', '，', '而三哥', '也', '要', '到', '寻源', '书院', '读', '中学', '，', '兄弟俩', '就', '一起', '上路', '了', '。']",林语堂传1.txt
Ns,Nh,"(9, 11)","(14, 15)",厦门鼓浪屿,而三哥,"['和', '乐要', '从坂仔', '的', '铭', '新', '小学', '转学', '到', '厦门', '鼓浪屿', '的', '教会学校', '，', '而三哥', '也', '要', '到', '寻源', '书院', '读', '中学', '，', '兄弟俩', '就', '一起', '上路', '了', '。']",林语堂传1.txt
Nh,Ns,"(14, 15)","(18, 19)",而三哥,寻源,"['和', '乐要', '从坂仔', '的', '铭', '新', '小学', '转学', '到', '厦门', '鼓浪屿', '的', '教会学校', '，', '而三哥', '也', '要', '到', '寻源', '书院', '读', '中学', '，', '兄弟俩', '就', '一起', '上路', '了', '。']",林语堂传1.txt
Nh,Ns,"(0, 1)","(4, 6)",林,漳州五里,"['林', '至诚', '本来', '是', '漳州', '五里', '沙人', '。']",林语堂传1.txt
Ns,BOOK,"(8, 9)","(4, 5)",闽南,《中华基督教年鉴》,"['1924', '年', '出版', '的', '《中华基督教年鉴》', '说', '：', '“', '闽南', '基督教', '会', '牧师', '林', '至诚', '自幼', '随母', '皈主', '，', '长', '肄业', '教会学校', '，', '养成', '传道', '资格', '，', '林公', '品行', '方正', '，', '才学兼优', '，', '深蒙故', '老', '牧师', '塔马', '字', '博士', '青睐', '，', '学成', '出膺', '传道', '，', '授任', '同安', '堂会', '牧师', '，', '教会', '整理', '，', '日渐', '发达', '，', '旋因', '宝鼎乏', '人', '，', '恳切', '敦聘', '爰', '就', '宝鼎', '堂会', '牧职', '。']",林语堂传1.txt
