Nh,Ns,"(0, 1)","(7, 8)",陶菊隐,湖南,"['陶菊隐', '（', '1898', '~', '1989', '）', '，', '湖南', '长沙人', '，', '民国', '时代', '的', '著名', '记者', '，', '近代', '军阀史', '的', '权威', '见证者', '和', '整理', '研究者', '。']"
BOOK,BOOK,"(4, 5)","(6, 7)",《菊隐丛谈（25册）》,《袁世凯演义》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(4, 5)","(8, 9)",《菊隐丛谈（25册）》,《蒋百里先生传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(4, 5)","(10, 11)",《菊隐丛谈（25册）》,《吴佩孚传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(6, 7)","(8, 9)",《袁世凯演义》,《蒋百里先生传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(6, 7)","(10, 11)",《袁世凯演义》,《吴佩孚传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(6, 7)","(12, 13)",《袁世凯演义》,《筹安会六君子传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(8, 9)","(10, 11)",《蒋百里先生传》,《吴佩孚传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(8, 9)","(12, 13)",《蒋百里先生传》,《筹安会六君子传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(8, 9)","(14, 15)",《蒋百里先生传》,《督军团传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(10, 11)","(12, 13)",《吴佩孚传》,《筹安会六君子传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(10, 11)","(14, 15)",《吴佩孚传》,《督军团传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(10, 11)","(16, 17)",《吴佩孚传》,《孤岛见闻》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(12, 13)","(14, 15)",《筹安会六君子传》,《督军团传》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(12, 13)","(16, 17)",《筹安会六君子传》,《孤岛见闻》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(12, 13)","(18, 19)",《筹安会六君子传》,《记者生活三十年》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(14, 15)","(16, 17)",《督军团传》,《孤岛见闻》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(14, 15)","(18, 19)",《督军团传》,《记者生活三十年》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
BOOK,BOOK,"(16, 17)","(18, 19)",《孤岛见闻》,《记者生活三十年》,"['其他', '著作', '还有', '：', '《菊隐丛谈（25册）》', '、', '《袁世凯演义》', '、', '《蒋百里先生传》', '、', '《吴佩孚传》', '、', '《筹安会六君子传》', '、', '《督军团传》', '、', '《孤岛见闻》', '、', '《记者生活三十年》', '等', '。']"
Nh,Ns,"(18, 19)","(19, 20)",袁世凯,朝鲜,"['陶', '先生', '这部', '130', '余', '万', '字', '的', '《史话》', '，', '不', '假', '任何', '虚构', '便', '把', '上', '至', '袁世凯', '朝鲜', '发迹', '、', '下', '至', '张学良', '东北', '易帜', '这', '段', '长', '达', '33年', '经纬万端', '、', '云谲波诡', '的', '历史', '说', '得', '清楚', '明白', '。']"
Nh,Nh,"(18, 19)","(24, 25)",袁世凯,张学良,"['陶', '先生', '这部', '130', '余', '万', '字', '的', '《史话》', '，', '不', '假', '任何', '虚构', '便', '把', '上', '至', '袁世凯', '朝鲜', '发迹', '、', '下', '至', '张学良', '东北', '易帜', '这', '段', '长', '达', '33年', '经纬万端', '、', '云谲波诡', '的', '历史', '说', '得', '清楚', '明白', '。']"
Ns,Nh,"(19, 20)","(24, 25)",朝鲜,张学良,"['陶', '先生', '这部', '130', '余', '万', '字', '的', '《史话》', '，', '不', '假', '任何', '虚构', '便', '把', '上', '至', '袁世凯', '朝鲜', '发迹', '、', '下', '至', '张学良', '东北', '易帜', '这', '段', '长', '达', '33年', '经纬万端', '、', '云谲波诡', '的', '历史', '说', '得', '清楚', '明白', '。']"
Nh,Ni,"(1, 2)","(2, 4)",雷颐,中国社科院,"['——', '雷颐', '中国', '社科院', '近代史', '所', '研究员']"
Nh,Ni,"(1, 2)","(2, 4)",王学泰,中国社科院,"['——', '王学泰', '中国', '社科院', '文学所', '研究员']"
Nh,BOOK,"(1, 2)","(2, 3)",李亚平,《帝国政界往事》,"['——', '李亚平', '《帝国政界往事》', '作者']"
Nh,Ns,"(1, 2)","(2, 5)",刘苏里,北京万圣书园总经理,"['——', '刘苏里', '北京', '万圣书园', '总经理', '、', '学者']"
Ni,Ni,"(1, 3)","(7, 9)",北京政府,安福俱乐部,"['一', '北京', '政府', '通缉', '安福祸首', '，', '解散', '安福', '俱乐部', '。']"
Nh,Nh,"(0, 1)","(2, 3)",吴光新,王占元,"['吴光新', '被', '王占元', '捕禁', '判刑', '。']"
Nh,Ns,"(0, 2)","(3, 4)",王揖唐,日本,"['王揖', '唐', '逃往', '日本', '。']"
Nh,Ns,"(0, 1)","(2, 3)",徐树铮,日本,"['徐树铮', '从', '日本', '兵营', '逃走']"
