Nh,Ni,"(3, 4)","(6, 7)",荣祥,关东军,"['年轻', '的', '军阀', '荣祥', '无力', '抗拒', '关东军', '的', '攻势', '，', '狼狈', '撤出', '满洲', '，', '逃往', '西安', '。']",民国遗事1931 BY 尼罗.txt
Ni,Ns,"(6, 7)","(12, 13)",关东军,满洲,"['年轻', '的', '军阀', '荣祥', '无力', '抗拒', '关东军', '的', '攻势', '，', '狼狈', '撤出', '满洲', '，', '逃往', '西安', '。']",民国遗事1931 BY 尼罗.txt
Ns,Ns,"(12, 13)","(15, 16)",满洲,西安,"['年轻', '的', '军阀', '荣祥', '无力', '抗拒', '关东军', '的', '攻势', '，', '狼狈', '撤出', '满洲', '，', '逃往', '西安', '。']",民国遗事1931 BY 尼罗.txt
Nh,Nh,"(12, 13)","(17, 18)",荣祥,荣祥,"['可是', '傅', '靖远', '，', '总', '还', '不愿', '那样', '绝情', '......', '眼看', '着', '荣祥', '流血', '，', '眼看', '着', '荣祥', '死去', '。']",民国遗事1931 BY 尼罗.txt
Ns,Nh,"(31, 32)","(35, 36)",中国,荣,"['汽车', '悄没', '声息', '的', '停到', '了', '楼', '后', '，', '白俄', '伙计', '听见', '动静', '，', '提着', '盏', '汽油', '灯', '出来', '迎接', '，', '虽', '是', '金发碧眼', '的', '模样', '，', '却说', '了', '一口', '好', '中国', '话', '：', '""', '荣', '先生', '来', '了', '？']",民国遗事1931 BY 尼罗.txt
Nh,Nh,"(21, 22)","(25, 26)",荣祥,小孟,"['白俄', '伙计', '看见', '正', '主儿', '下', '了', '车', '，', '便', '不再', '多', '说', '，', '打开', '后门', '，', '提灯', '进去', '引路', '，', '荣祥', '一', '手扶', '着', '小孟', '，', '一', '手扶', '着', '墙', '，', '楼', '老', '，', '楼梯', '都', '破损', '的', '坑坑洼洼', '，', '荣祥', '脚下', '一', '滑', '，', '虽', '是', '立刻', '就', '有', '小孟', '把住', '了', '他', '，', '他', '还是', '惊得', '哼', '了', '一声', '。']",民国遗事1931 BY 尼罗.txt
Nh,Nh,"(10, 11)","(16, 17)",惠珍,冯凯,"['前方', '这位', '女性', '乃是', '他', '的', '二嫂', '，', '名字', '叫做', '惠珍', '，', '娘家', '就是', '鼎鼎大名', '的', '冯凯', '山家', '。']",民国遗事1931 BY 尼罗.txt
Nh,Nh,"(2, 3)","(6, 7)",荣祥,冯惠珍,"['听', '了', '荣祥', '的', '道歉', '，', '冯惠珍', '并', '不', '答话', '，', '只', '微微', '飘过来', '一眼', '：', '""', '你', '过来', '帮', '我', '瞧一瞧', '，', '我', '有些', '定', '不下', '了', '呢', '。']",民国遗事1931 BY 尼罗.txt
Nh,Nh,"(0, 1)","(5, 6)",冯惠珍,荣祥,"['冯惠珍', '把', '脸', '凑', '到', '荣祥', '的', '西装', '领子', '上', '，', '软', '洋洋', '的', '叹', '了', '口气', '：', '""', '今天', '小孟说', '让', '我', '来', '这儿', '等', '你', '，', '我', '还', '莫名其妙', '-', '-', '-', '-', '-', '-', '-', '-', '-', '好端端', '的', '，', '怎么', '想着', '给', '我', '买', '戒指', '了', '？']",民国遗事1931 BY 尼罗.txt
Nh,Nh,"(0, 1)","(6, 7)",荣祥,冯惠珍,"['荣祥', '端坐', '在', '那里', '，', '晓得', '冯惠珍', '是', '哭', '了', '，', '可', '也', '只是', '用力', '抱', '了', '抱', '她', '的', '肩膀', '。']",民国遗事1931 BY 尼罗.txt
