Nh,BOOK,"(0, 1)","(1, 2)",﻿,《袁世凯传》,"['\ufeff', '《袁世凯传》']",袁世凯传.txt
Ns,Nh,"(24, 27)","(28, 29)",浙江奉化溪口镇,蒋介石,"['「', '纽约时报', '」', '现任', '驻华', '特派员', '泰勒', '（', 'Patrick', ' ', 'E', '.', ' ', 'Tyler', '）', '，', '最近', '于', '二月', '六日', '该报', '发表', '一篇', '有关', '浙江', '奉化', '溪口镇', '，', '蒋介石', '故居', '的', '「', '专访', '」', '。']",袁世凯传.txt
Ns,Nh,"(1, 2)","(6, 7)",泰勒,蒋公近,"['据', '泰勒', '的', '报导', '说', '，', '蒋公近', '在', '大陆', '（', '尤其', '是', '在', '浙江', '奉化', '一带', '）', '，', '其', '声望', '至少', '与', '毛', '某', '平起平坐', '的', '。']",袁世凯传.txt
Nh,Ns,"(6, 7)","(13, 15)",蒋公近,浙江奉化,"['据', '泰勒', '的', '报导', '说', '，', '蒋公近', '在', '大陆', '（', '尤其', '是', '在', '浙江', '奉化', '一带', '）', '，', '其', '声望', '至少', '与', '毛', '某', '平起平坐', '的', '。']",袁世凯传.txt
Ns,Nh,"(25, 26)","(31, 32)",中国,泰勒,"['别外', '值得注意', '的', '是', '，', '「', '纽约时报', '」', '这家', '当今世界', '上', '最', '有', '权威', '，', '也', '是', '办得', '最好', '的', '一份', '报纸', '，', '它', '对', '中国', '新闻报导', '的', '态度', '（', '包括', '泰勒', '本人', '以及', '十多位', '他', '的', '前任', '）', '一向', '都', '有', '其', '偏见', '的', '；']",袁世凯传.txt
Ni,Nh,"(1, 3)","(8, 9)",中国中央,袁世凯,"['因此', '中国', '中央', '执政者', '，', '自', '西太后', '、', '袁世凯', '而', '下', '，', '诸位', '总统', '、', '主席', '，', '到', '「', '假', '皇帝', '邓小平', '」', '（', '这', '也', '是', '该报', '封给', '邓', '的', '荣衔', '）', '，', '直至', '江泽民', '、', '李鹏', '，', '在', '该报', '的', '评述', '之中', '简直', '就', '没', '一个', '好', '东西', '。']",袁世凯传.txt
Nh,Nh,"(29, 30)","(35, 36)",邓,江泽民,"['因此', '中国', '中央', '执政者', '，', '自', '西太后', '、', '袁世凯', '而', '下', '，', '诸位', '总统', '、', '主席', '，', '到', '「', '假', '皇帝', '邓小平', '」', '（', '这', '也', '是', '该报', '封给', '邓', '的', '荣衔', '）', '，', '直至', '江泽民', '、', '李鹏', '，', '在', '该报', '的', '评述', '之中', '简直', '就', '没', '一个', '好', '东西', '。']",袁世凯传.txt
Nh,Nh,"(35, 36)","(37, 38)",江泽民,李鹏,"['因此', '中国', '中央', '执政者', '，', '自', '西太后', '、', '袁世凯', '而', '下', '，', '诸位', '总统', '、', '主席', '，', '到', '「', '假', '皇帝', '邓小平', '」', '（', '这', '也', '是', '该报', '封给', '邓', '的', '荣衔', '）', '，', '直至', '江泽民', '、', '李鹏', '，', '在', '该报', '的', '评述', '之中', '简直', '就', '没', '一个', '好', '东西', '。']",袁世凯传.txt
Nh,Ni,"(2, 3)","(5, 7)",江泽民,美国工商界,"['可是', '去秋', '江泽民', '访美', '，', '美国', '工商界', '在', '华尔道', '夫大', '旅馆', '，', '由', '季辛吉', '主持', '的', '盛大', '招待会', '，', '这则', '「', '可', '刊载', '」', '的', '天大', '新闻', '，', '「', '纽约时报', '」', '硬来', '它', '个', '「', '只字不提', '」', '，', '把', '老江', '封杀', '得', '干干净净', '。']",袁世凯传.txt
Ni,Nh,"(5, 7)","(13, 14)",美国工商界,季辛吉,"['可是', '去秋', '江泽民', '访美', '，', '美国', '工商界', '在', '华尔道', '夫大', '旅馆', '，', '由', '季辛吉', '主持', '的', '盛大', '招待会', '，', '这则', '「', '可', '刊载', '」', '的', '天大', '新闻', '，', '「', '纽约时报', '」', '硬来', '它', '个', '「', '只字不提', '」', '，', '把', '老江', '封杀', '得', '干干净净', '。']",袁世凯传.txt
Ns,Nh,"(14, 15)","(16, 17)",维吉尼亚,孙立人,"['─', '─', '它', '在', '「', '殖民', '时代', '」', '（', 'Colonial', ' ', 'Period', '）', '在', '维吉尼亚', '（', '孙立人', '的', '母校', '所在地', '）', '一带', '，', '搞', '「', '计', '口授', '田', '」', '（', '五个', '黑口', '可抵', '三个', '白口', '）', '，', '是', '一夫', '授田', '五十', '英亩', '（', '合', '三百', '华亩', '）', '。']",袁世凯传.txt
